alder,hourly_salary_plsats_Mean,yearly_hours_Mean,yearly_salary_plsats_Mean,formue_plsats_Mean,pension_u_skat_plsats_Mean,extensive_v2_Mean,rente_pension_sum,indbetalingsprocent_sum,overfor_0,overfor_1,overfor_2
30,181,1435.9483643,334021.76063,30057.403351,244887.34887,0.834508302,0.0421097307,0.1234412732,126033.51034,25231.793291,222931.27085
31,243.92527503,1463.0005623,348379.8196,35553.697412,293348.58811,0.8395729878,0.0401866848,0.1265047775,133030.24081,25781.536071,224268.04992
32,249.69975902,1483.98604,360657.0549,43522.707275,344163.36761,0.8431500257,0.0313251571,0.1286176959,135852.48054,25857.766367,225398.4162
33,254.91845764,1500.4075638,371816.51366,49539.747808,396468.59012,0.8481581499,0.0300779309,0.1301240994,137333.6292,26101.98844,225783.01007
34,260.22026659,1517.0360945,382491.4694,62098.859904,452778.50004,0.8525627634,0.0328183973,0.131754613,138251.43113,26053.622402,226759.95308
35,265.40133857,1531.512307,392651.91683,74635.663836,511185.80151,0.8566300692,0.0326669731,0.1328821889,138479.06043,25736.110713,225134.65621
36,270.03869255,1545.8809477,402083.8617,87648.047466,571953.63569,0.860374162,0.0292180115,0.1341119402,138848.90031,25386.965219,224391.51241
37,274.44663891,1556.9931736,410277.47348,101491.44763,633944.73924,0.8635390126,0.030827445,0.1351174763,138686.49134,24843.460857,223556.76439
38,278.168904,1568.0081617,417856.05027,117799.77788,696399.61758,0.8660309758,0.0266692438,0.1363424614,137484.3307,24370.361021,222242.73016
39,281.66668382,1577.8354263,424706.09801,135554.57003,758661.6302,0.8667567741,0.0286339082,0.1370041635,136459.34778,23828.861279,220877.9384
40,284.90749828,1585.0083675,430637.97417,151652.28391,824075.50018,0.8679120758,0.0256684132,0.1380638947,135399.0676,23328.045417,220434.00347
41,287.6599545,1592.4039438,435643.25392,169603.89953,889474.1154,0.8686105328,0.021802157,0.1391101161,134397.8424,22692.744343,219463.34643
42,290.73082831,1600.4129127,441880.43295,184488.63686,956974.07143,0.8689587205,0.0237348038,0.139750802,131841.20702,21894.361047,218916.34731
43,293.10452588,1606.4135582,446245.53494,202632.19944,1022456.374,0.8683422178,0.0216048639,0.1409699251,129503.40292,21043.120046,217342.82356
44,295.28886595,1611.8310564,450634.7871,220071.73405,1089875.1722,0.8674362809,0.0211219299,0.1415171998,128056.92426,20045.846718,216268.74553
45,296.55294136,1615.5339043,453111.03262,236313.54252,1155898.417,0.8652618363,0.0199965904,0.142007766,125713.41157,19037.118117,214323.29032
46,297.72396858,1620.5681305,455812.68727,251817.67278,1221434.1486,0.8636713113,0.0169302508,0.1427859027,123396.91938,18025.15163,213136.37184
47,298.56246775,1622.5479207,456868.00587,271109.32618,1286277.5039,0.8597861422,0.0161006359,0.1435523198,120842.96405,16890.089071,210887.08333
48,298.20619132,1624.0835278,456700.66619,290390.24599,1353919.2167,0.8557282016,0.0152382691,0.1445367088,119069.41518,15761.996926,209599.5762
49,298.16106764,1627.3085634,456886.49251,310225.58892,1427079.5079,0.8522157758,0.0137784099,0.144991312,116844.55445,14699.48882,208397.73559
50,297.10833156,1626.4543542,455005.98042,325823.07474,1499706.135,0.847570446,0.0135630581,0.1455773355,115065.99403,13953.090483,207366.94935
51,295.9305491,1628.7992997,453392.64115,346411.03325,1575995.9688,0.8444456157,0.0085948812,0.147514843,114026.14945,13211.159971,206021.32356
52,293.58714701,1626.5016481,448696.70817,366766.39148,1653486.2063,0.8401932006,0.0087627574,0.1490336434,112552.51567,12672.77483,204994.81519
53,291.74501688,1624.9662822,444602.30354,386438.53546,1740745.2969,0.8360299311,0.0093329933,0.1500941797,110873.94649,12235.145235,203783.11497
54,289.50644254,1623.0406852,440282.68861,406139.55399,1833313.713,0.8307228352,0.0090294209,0.1519702535,109903.74817,11960.792803,202400.1722
55,287.60825392,1622.1633965,436608.56509,428387.76085,1934772.835,0.8247426298,0.010214384,0.1534057215,108133.00301,11719.703737,200871.00234
56,285.11879135,1620.6889098,431859.3081,449384.74557,2034589.7495,0.8175457756,0.0105512912,0.154809945,107206.64345,11456.784204,199503.51986
57,283.50911902,1618.5546726,428451.99503,469899.54623,2141004.5544,0.8100923268,0.0100245589,0.1563415486,105610.45421,11410.646861,198394.26888
58,281.44189839,1616.9635337,424829.7282,491263.12357,2249501.0302,0.80116898,0.0091582672,0.157007242,104633.21254,11460.890714,197301.85288
59,279.01793488,1613.8753766,420404.73029,513867.8241,2360399.5526,0.7937724833,0.0084612225,0.1580047605,104013.15112,11503.956893,195928.07468
60,276.84731206,1609.743642,414791.30368,541328.58002,2438272.0096,0.7702393939,-0.002672709,0.1581560572,106386.51141,11616.942545,179307.78973
61,278.27837702,1609.2694486,413120.4085,564608.66252,2492416.6795,0.7028066116,-0.008049938,0.1582808017,102664.17912,12181.189407,171597.813
62,284.2543693,1587.4100959,408992.31715,588143.62602,2562576.5225,0.5866549833,0.0006686895,0.1662681642,93234.194649,14671.147193,164150.95106
63,289.6403447,1541.9031108,394887.6517,600626.67685,2596156.1584,0.4712213534,-0.004441356,0.1725773399,83523.527227,20109.403769,161164.9573
64,289.01700792,1506.4693729,377257.34434,608555.753,2597756.1442,0.4067538967,-0.007456558,0.174004945,78670.67452,24310.033596,158635.39867
65,292.94201308,1383.8877783,335557.11348,655505.83386,2529539.5266,0.3082635441,-0.029621402,,,,
66,288.39713431,1205.8154381,274873.55887,664242.03686,2468394.5193,0.2514775568,-0.020012304,,,,
67,285.47161024,1102.1963569,236170.78895,668405.59831,2358422.4662,0.2150048696,-0.027578854,,,,
68,282.87582373,1006.646441,203436.85086,667731.80706,2251687.2273,0.1892279458,-0.027169552,,,,
69,280.92231207,935.52379279,178645.91852,667790.08258,2139074.7125,0.167530065,-0.027996933,,,,
70,278.54726381,838.87899275,149665.25409,662620.63341,2005182.5987,0.1454978394,-0.033501599,,,,
71,275.96483459,756.03206997,125489.07802,659375.71114,1872906.7248,0.1282957688,-0.034256404,,,,
72,274.77502253,686.6585081,107081.05184,654723.06192,1737572.0821,0.1158332185,-0.036448652,,,,
73,270.09021512,641.79202827,93237.434944,648324.40455,1582237.487,0.1038893239,-0.039575805,,,,
74,268.39332462,592.21115819,82045.456601,646322.10424,1426138.0639,0.0930336536,-0.043768592,,,,
75,266.59797917,550.33353609,71673.738746,702405.69511,1216275.0299,0.0823271131,-0.093335018,,,,
76,265.39904288,514.73064196,61724.533008,707773.3939,1066898.1977,0.0719174952,-0.043405501,,,,
77,263.66340414,476.76877568,55008.186058,691116.06117,956259.83816,0.0642328296,-0.035858438,,,,
78,263.82845284,458.33257072,50671.765269,678333.91241,870465.63356,0.0563235187,-0.033790911,,,,
79,261.41246472,455.79625231,46198.28026,670982.95946,793918.44381,0.0502210015,-0.027208288,,,,
80,258.99570606,454.97721781,43591.671661,661438.95924,720372.48614,0.0439757094,-0.025627002,,,,
81,259.03320532,447.92667278,40896.494575,654069.24394,652669.38344,0.0379890777,-0.022123543,,,,
82,264.15914224,457.94162437,38026.031808,652077.76406,592329.99683,0.0333087374,-0.024283593,,,,
83,263.9862724,437.92083333,33463.921695,655548.19021,537399.19011,0.0297853389,-0.021689207,,,,
84,258.16872662,449.97275823,33296.64212,662235.24045,490066.70688,0.0258286911,-0.017291298,,,,
85,,,,670345.64511,445722.09915,,-0.017833765,,,,
86,,,,681730.6264,399519.98978,,-0.026963573,,,,
87,,,,693059.26877,356971.86057,,-0.028797447,,,,
88,,,,698780.13455,317223.09893,,-0.023216133,,,,
89,,,,703822.18536,281967.33449,,-0.011376314,,,,
90,,,,704750.8904,250323.57751,,-0.001596321,,,,
91,,,,723632.53807,220401.1545,,0.0013443573,,,,
92,,,,724889.70052,194116.90485,,0.0196227216,,,,
93,,,,733258.67582,171622.58253,,0.0295002951,,,,
94,,,,749616.53167,149969.53101,,0.0591041551,,,,
95,,,,731510.002,131542.00801,,0.0629137055,,,,
96,,,,755410.71479,115853.18632,,0.0713286521,,,,
97,,,,761661.6981,100857.5217,,0.0732823844,,,,
98,,,,739125.49188,85203.871617,,0.0932954266,,,,
99,,,,748848.08147,75142.133014,,0.0928024199,,,,
