alder,mean_extensive,se_extensive,n_obs
37,0.85060239,0.001337365,71052
38,0.84784538,0.000957227,140791
39,0.84644669,0.000787408,209634
40,0.84661031,0.000680296,280599
41,0.84746623,0.000606577,351332
42,0.84912425,0.000548362,426046
43,0.84982425,0.000502327,505774
44,0.85085553,0.000464371,588483
45,0.85017705,0.000436465,668636
46,0.84822881,0.000439437,666668
47,0.8463822,0.000442319,664565
48,0.84436691,0.000445477,662192
49,0.84134114,0.000449823,659711
50,0.83566505,0.000457207,656957
51,0.83081549,0.000463575,654073
52,0.82659775,0.000469239,650972
53,0.82303083,0.000474249,647593
54,0.81826711,0.000480544,643967
55,0.81041187,0.000489895,640193
56,0.7991851,0.000502285,636128
57,0.78598356,0.000515954,631886
58,0.76707107,0.000533636,627436
59,0.74906838,0.000549354,622835
60,0.62878126,0.000614712,617714
61,0.56407088,0.000633811,612111
62,0.47200131,0.000641035,606475
63,0.40325534,0.000633042,600488
64,0.36553612,0.0006247,594286
65,0.2887719,0.000591036,587945
66,0.24373637,0.000563254,581013
67,0.21559978,0.00054292,573739
68,0.1937971,0.000525386,566025
69,0.17568946,0.000509579,557717
70,0.15686935,0.000490893,548858
71,0.1252647,0.000450756,539290
72,0.11173495,0.000457787,473594
73,0.099445641,0.000467146,410385
74,0.087790638,0.000478721,349445
75,0.076547064,0.000495036,288450
76,0.064123072,0.000511398,229465
77,0.051383864,0.000535478,169995
78,0.033868577,0.000545302,110043
