alder,mean_intensive,se_intensive,n_obs
55,.92165011,.00081571977,50847
56,.91893411,.00059556519,97585
57,.91653478,.00049619749,141964
58,.9144389,.00043521944,185756
59,.9120627,.00039478688,226758
60,.90863371,.00041314459,229178
61,.89783782,.00045177201,237894
62,.87782741,.00050997658,222938
63,.84201276,.00061369338,205952
64,.82553071,.00068618776,182713
65,.77390808,.00087447301,136039
66,.68257195,.0010889353,108928
67,.63419759,.0012154967,91812
68,.58791667,.0013228408,78941
69,.55086058,.0014185226,68502
70,.50952339,.0015133125,58570
71,.47062212,.0017127149,44210
72,.4445892,.0019368533,33483
73,.42592609,.0022091658,25057
74,.41033688,.0025583729,18334
75,.39475101,.0030275015,12827
76,.38164064,.0037101519,8370
77,.36876512,.0048295907,4821
78,.36392397,.0073594074,2038
