alder,mean_wage,se_wage,n_obs
33,350731.66,685.80145,63283
34,363870.34,507.84753,124698
35,373910.38,430.65738,183898
36,378459.56,381.22607,244670
37,383583.78,347.87796,304567
38,388880.28,323.07654,367078
39,393585.66,302.68396,433040
40,397016,286.21967,501428
41,400879.66,273.53049,567167
42,407228.97,278.5484,563088
43,411232.25,282.25052,559460
44,414767.78,286.0007,556274
45,419258.72,289.66742,552988
46,423657.19,293.86435,549945
47,427708.31,297.84488,547246
48,431792.38,302.04077,544317
49,436582.16,305.54944,540407
50,439702.72,308.50909,535543
51,442996.28,311.6947,530681
52,445340.34,314.04825,526142
53,447574.16,316.28613,521559
54,449519.13,317.82333,516614
55,452477.44,320.04425,509065
56,454812,323.25165,500896
57,457177.78,328.66663,491607
58,458482.69,334.96417,479950
59,459900.91,341.59857,466583
