alder,mean_wealth,se_wealth,n_obs
33,90135.828,1783.78,71689
34,92793.938,1315.8853,141999
35,77120.266,1103.1018,211246
36,85716.141,987.19818,282763
37,92801.383,921.52716,354060
38,98068.938,872.85547,429364
39,114072.48,838.4903,510108
40,126874.32,808.98633,593799
41,143620.61,786.86121,675136
42,137671.3,794.55017,673693
43,144293.19,817.12714,672052
44,157802.72,841.1582,670366
45,173068.38,873.64612,668630
46,198666.23,911.95862,666662
47,235277.91,962.30066,664559
48,272497.22,1013.7155,662186
49,312802.75,1064.9918,659705
50,352753.41,1123.0933,656951
51,397209.81,1185.5042,654067
52,448837.94,1256.3043,650966
53,515585.72,1356.2887,647587
54,600104.94,1474.5111,643961
55,675215.19,1577.4102,640187
56,722574.56,1652.6493,636122
57,765272.69,1716.9508,631880
58,807305.44,1780.7225,627430
59,846621.38,1839.9546,622829
60,897161.81,1893.1959,617708
61,917456.5,1929.2883,612106
62,925869.63,1943.9208,606470
63,899611.25,1914.0591,600483
64,879952.88,1889.5624,594281
65,925772.94,1910.3485,587942
66,933476,1929.6346,581010
67,945302.63,1952.9794,573736
68,954503.38,2093.1118,506494
69,965388.19,2255.6724,441436
70,972041.06,2443.3123,378236
71,983883.88,2691.958,314640
72,995034.94,3012.3958,252819
73,1000908,3482.7024,189392
74,1016662.1,4343.4785,124130
75,1026471,6291.5571,59392
